Sample,Short,Total Reads (M),Mapped %,Dup %,Q30 %,Mean Cov,PCT >= 20x,Sex
26034XD-04-01,S01,590.242754,99.59,15.2,95.75,26.44,81.02,XX
26034XD-04-02,S02,702.642234,99.33,17.15,95.39,30.58,85.17,XY
26034XD-04-03,S03,676.385488,99.21,16.46,94.8,29.63,85.23,XY
26034XD-04-04,S04,879.479028,99.05,15.91,94.88,39.2,88.09,XY
26034XD-04-05,S05,781.612566,99.54,13.94,95.31,35.91,91.7,XX
26034XD-04-06,S06,780.644022,99.39,14.02,95.15,35.84,91.73,XX
26034XD-04-07,S07,986.974296,99.15,13.26,94.89,45.79,93.13,XX
26034XD-04-08,S08,823.897056,99.3,13.49,95.05,38.13,92.46,XX
26034XD-04-09,S09,785.256244,98.95,23.97,94.41,31.59,87.1,XX
26034XD-04-10,S10,703.404216,99.25,36.97,95.09,23.22,63.46,XX
26034XD-04-11,S11,604.406996,99.23,38.58,95.15,19.42,37.89,XX
26034XD-04-12,S12,806.808776,98.98,24.05,94.6,31.99,85.92,XY
26034XD-04-13,S13,737.9999,99.67,14.89,95.83,33.0,87.55,XY
26034XD-04-14,S14,812.7228,98.96,14.67,94.55,36.77,92.13,XX
26034XD-04-15,S15,812.30188,98.95,19.96,94.36,34.11,87.2,XY
26034XD-04-16,S16,738.378982,99.51,11.38,95.51,35.08,91.4,XX
